DATEESTIMATECREATED,LINEITEMKEY,QUOTEREQUESTID,ESTIMATEKEY,LINEITEMUNITPRICE,LINEITEMTOTALPRICE,ESTIMATETOTALPRICE,ESTIMATETOTALQUANTITY,QTYPERLINEITEM,MATERIALCENTWEIGHTCOST,MATERIALWEIGHTUNITOFMEASURE,MATERIALUNITWEIGHT,MATERIALLINETOTALWEIGHT,MATERIALLINETOTALCENTWEIGHTCOST,PURCHASERLOCATIONNAME,PURCHASERLOCATIONKEY,PURCHASERCOMPANYNAME,PURCHASERPOSTALCODE,SUPPLERPOSTALCODE,SUPPLIERLOCATIONNAME,SUPPLIERLOCATIONKEY,SUPPLIERCOMPANYNAME,MATERIALTYPE,SHAPEGROUP,SHAPEDETAIL,LEADTIME,MARGINSYSTEMRECOMMENDED,MARGINUSERENTERED,MARGINACTUAL,MARGINDIFFERENCE,MARGINDIFFERENCEPERCENT,PRICETIERKEY,MARGINENGINETYPEID,MARGINENGINETYPE,QUOTEREQUESTSTATUS,ISWON,ISLOST
2/3/26,268CA5CB-FEBB-48F9-9E76-D2FA42831237,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,167.49,1339.92,4867,31,8,59,pound,264,2112,124608,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Angle,Angle,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,4B4244DD-A4F3-43CA-9453-278657D3B30D,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,106.03,106.03,4867,31,1,58,pound,170,170,9860,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Bar,Flat,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,7F74DDDE-9FF8-4038-8EDE-1F25E64F8087,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,149.68,598.72,4867,31,4,60,pound,232,928,55680,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Angle,Angle,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,0B716A05-D681-479E-88A8-1ACEBAD87F66,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,122.24,1711.36,4867,31,14,58,pound,196,2744,159152,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Angle,Angle,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,6A4953B4-2640-4DB7-A2D0-4EA1288B5194,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,158.71,158.71,4867,31,1,60,pound,246,246,14760,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Angle,Angle,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,9FB6E252-54B3-490B-8729-9F9D2137F26E,01KGJA40FDCTZY1P3F2ZVAYXA8,E4FFD6C1-A7B8-4672-9420-4AC99CBE4D04,317.42,952.26,4867,31,3,60,pound,492,1476,88560,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Angle,Angle,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/3/26,EF54AB6C-E2EA-4F34-8E2A-5FBEF88AF1B6,01KGJ8CS8Q8Q4B02RS9NZN50GT,B5493CE2-65EA-414C-AE4A-0EBD54D0C185,220.34,220.34,220.34,1,1,4228.97,pound,5.184,5.184,21922.98048,Online Metals,FCFFF907-36C7-4083-386F-08DE5E815656,onlinemetals.com,43619,45245,Slice of Stainless,FBF195C2-FBE7-F011-8194-7C1E52025CC6,Slice of Stainless,Stainless,Sheet,Sheet,8.64E+11,0.5,,0.5,0,1,E2CA0E62-15EB-F011-8194-7C1E52025CC6,0,LineItem,OrderConfirmed,TRUE,FALSE
2/3/26,3D1A311C-A150-415A-8252-F833C1A304A8,01KGJ2FC6HEKJNQYBY3FEQYSHR,A4BF2480-570A-4BBA-9269-8D8B3E026035,165.2,165.2,165.2,1,1,59,pound,196,196,11564,Maymar Marine Supply Co Inc,41952E1A-3B3B-F011-A5F1-000D3A107879,maymarmarine.net,39567,36590,Mobile - 05,1F4460A7-C04C-4BD8-46D0-08DD9D5E43AB,Sabel Steel,Carbon,Angle,Angle,8.64E+11,30,,30,0,1,167E2F63-3A3B-F011-A5F1-000D3A107879,1,Basket,Acknowledged,FALSE,FALSE
2/2/26,AAD92449-1470-4F8D-8F41-3FBB90C4F703,01KGG5APR2G9RNNWY2V7Y98J0G,A7C26C93-4F30-43A2-98AA-2235DBA91B1A,48.31,48.31,48.31,1,1,59,pound,61.4,61.4,3622.6,WESCO GAS & SUPPLY,DA5A9547-301A-F011-8B3D-000D3A124E64,wescoweld.com,70433,70814,Baton Rouge - 19,B951771C-5E24-4FBF-2E19-08DD49F54E2A,Sabel Steel,Carbon,Angle,Angle,8.64E+11,25,,25,0,1,842B96E4-0D17-F011-8B3D-000D3A124E64,0,LineItem,Rejected,FALSE,TRUE
2/2/26,C939A320-49CE-439E-A7A6-B088F2BBFBF6,01KGFZ8P4QVC1JRYWDN552ECE0,334274FA-3625-404D-BD08-133E6F797F58,86.46,86.46,86.46,1,1,60,pound,134,134,8040,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Channel,Standard,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
2/2/26,25CA209D-1FB6-433E-B2CD-53DD746A6FFD,01KGFYYYWD7V7HD5SVR90W7XVQ,1B2EE9E4-4D3A-47FD-B2C2-AE67DF727251,572.04,1144.08,1557.02,3,2,64.25,pound,828,1656,106398,Contractors Steel Supply,D0A0B64B-74E2-EF11-88F8-0022482B8D14,contractors-steel.com,36108,36104,Montgomery - 04,0F28D83B-AF90-4659-4E8D-08DCD36B6A7E,Sabel Steel,Carbon,Channel,Standard,8.64E+11,7,,7,0,1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1,Basket,OrderInvoiced,TRUE,FALSE
