Variable,Coefficient,Std_Error,t_statistic,p_value,CI_Lower,CI_Upper,Significant
const,17.907699800199822,0.17262123776857327,103.73984123673122,0.0,17.569265984649324,18.24613361575032,Yes
Factor_1,-0.0944655089265028,0.15315449907548337,-0.6167987848658938,0.5374025571171228,-0.3947336692112249,0.2058026513582193,No
Factor_2,-0.3632858854090928,0.1589900131553231,-2.284960408514374,0.02236726608758688,-0.6749949050067723,-0.0515768658114133,Yes
Factor_3,-1.700026934291242,0.1729508591504398,-9.829537376350864,1.509533576120831e-22,-2.0391069914247235,-1.3609468771577604,Yes
--- MODEL FIT ---,,,,,,,
R_squared,0.025065325406828487,,,,,,
Adj_R_squared,0.02433412440088356,,,,,,
F_statistic,34.2796648295613,,,7.207470155654474e-22,,,
N_observations,4004,,,,,,
DV_Mean,17.9076998001998,,,,,,
DV_Std,11.058359462112588,,,,,,
