purchaser,assigned_tier,predicted_tier,n_quotes,win_rate,avg_estimate,severity,recommendation,Unit_Characteristics,Order_Volume,Order_Value
davismachineworks.com,Tier_3,Tier_1,18,0.0,546.656,HIGH,URGENT: Review pricing. 0% win rate suggests significant overpricing. Consider moving to Tier_1.,-0.198,-0.198,0.001
RAYCOINDUSTRIAL.COM,Tier_3,Tier_1,15,0.067,3086.953,HIGH,Review pricing. Low win rate (7%) suggests potential overpricing. Consider Tier_1.,0.577,-0.224,0.168
TYSONMETALWORKS.COM,Tier_3,Tier_1,9,0.0,1313.891,HIGH,URGENT: Review pricing. 0% win rate suggests significant overpricing. Consider moving to Tier_1.,0.813,-0.075,0.005
bluecreekironworks.com,Tier_3,Tier_1,4,0.0,157.012,HIGH,URGENT: Review pricing. 0% win rate suggests significant overpricing. Consider moving to Tier_1.,-0.246,-0.382,-0.056
alabamasteel,Tier_3,Tier_1,1,0.0,13.02,HIGH,URGENT: Review pricing. 0% win rate suggests significant overpricing. Consider moving to Tier_1.,-0.107,-0.369,-0.163
holleysteel.com,Tier_1,Tier_3,1,0.0,7073.8,HIGH,URGENT: Review pricing. 0% win rate suggests significant overpricing. Consider moving to Tier_3.,0.377,-0.016,2.757
cahabatruck.com,Tier_5,Tier_1,12,1.0,1159.202,MEDIUM,Revenue opportunity. High win rate (100%) may indicate underpricing. Consider moving from Tier_5 toward Tier_1.,-0.105,-0.264,-0.051
southernsteel.biz,Tier_3,Tier_1,455,0.523,2181.842,LOW,Factor profile suggests Tier_1 may be a better fit than current Tier_3.,0.119,0.627,0.028
wescoweld.com,Tier_4,Tier_1,268,0.172,455.454,LOW,Factor profile suggests Tier_1 may be a better fit than current Tier_4.,-0.316,-0.196,-0.031
eavesconstruction.com,Tier_5,Tier_1,136,0.294,2450.698,LOW,Factor profile suggests Tier_1 may be a better fit than current Tier_5.,0.035,0.043,-0.018
thomasmachineandfab.com,Tier_3,Tier_1,119,0.168,2714.255,LOW,Factor profile suggests Tier_1 may be a better fit than current Tier_3.,0.529,0.245,0.06
desfabco.com,Tier_3,Tier_1,71,0.268,6111.408,LOW,Factor profile suggests Tier_1 may be a better fit than current Tier_3.,0.991,-0.249,0.039
